Unnamed: 0,ctry,fh09,polity09,gini,fparl08,mena,lati,cari,east,sovi,afri,corr0509,Unnamed: 13,corr_round,fh_status
57,El Salvador,2.5,8.0,46.9,16.67,0,1,0,0,0,0,-0.288100008655349,,-0.29,free
60,Estonia,1.0,9.0,36.0,20.79,0,0,0,0,0,0,0.975601676905677,,0.98,free
64,Finland,1.0,10.0,26.9,41.5,0,0,0,0,0,0,2.33507215266569,,2.34,free
65,France,1.0,9.0,32.7,19.57,0,0,0,0,0,0,1.41647265610532,,1.42,free
70,Germany,1.0,10.0,28.3,31.13,0,0,0,0,0,0,1.7450199359286,,1.75,free
71,Ghana,1.5,8.0,42.8,7.89,0,0,0,0,0,1,-0.0312243821673234,,-0.03,free
73,Greece,1.5,10.0,34.3,14.67,0,0,0,0,0,0,0.297696620286781,,0.3,free
75,Grenada,1.5,,,21.43,0,0,1,0,0,0,0.494549780051937,,0.49,free
80,Guyana,2.5,6.0,43.2,30.0,0,0,1,0,0,0,-0.58131273572866,,-0.58,free
84,Hungary,1.0,10.0,30.0,11.14,0,0,0,0,1,0,0.575809064567707,,0.58,free
85,Iceland,1.0,,,33.33,0,0,0,0,0,0,2.20999797895684,,2.21,free
86,India,2.5,9.0,36.8,9.18,0,0,0,0,0,0,-0.336544078203674,,-0.34,free
87,Indonesia,2.5,8.0,37.6,11.64,0,0,0,1,0,0,-0.704519160316826,,-0.7,free
90,Ireland,1.0,10.0,34.3,15.49,0,0,0,0,0,0,1.6890746126857,,1.69,free
92,Israel,1.5,10.0,39.2,14.17,1,0,0,0,0,0,0.885728613397935,,0.89,free
93,Italy,1.5,10.0,36.0,20.17,0,0,0,0,0,0,0.238881472311902,,0.24,free
94,Jamaica,2.5,9.0,45.5,13.58,0,0,1,0,0,0,-0.40601304633378,,-0.41,free
95,Japan,1.5,10.0,24.9,12.33,0,0,0,0,0,0,1.28955340570654,,1.29,free
99,Kiribati,1.0,,,4.35,0,0,0,0,0,0,0.0875538478925123,,0.09,free
101,"Korea, Rep.",1.5,8.0,31.6,13.71,0,0,0,1,0,0,0.532592110829053,,0.53,free
106,Latvia,1.5,8.0,36.3,20.0,0,0,0,0,0,0,0.335019285751922,,0.34,free
111,Liechtenstein,1.0,,,24.0,0,0,0,0,0,0,1.30075897330812,,1.3,free
112,Lithuania,1.0,10.0,35.8,17.73,0,0,0,0,0,0,0.197262021299463,,0.2,free
113,Luxembourg,1.0,,,23.33,0,0,0,0,0,0,1.88834922497195,,1.89,free
120,Mali,2.5,7.0,39.0,10.2,0,0,0,0,0,1,-0.469028822567703,,-0.47,free
121,Malta,1.0,,,8.7,0,0,0,0,0,0,0.970310606377248,,0.97,free
122,Marshall Islands,1.0,,,3.03,0,0,0,0,0,0,-0.489121997836928,,-0.49,free
124,Mauritius,1.5,10.0,,17.1,0,0,0,0,0,1,0.525747143763921,,0.53,free
126,Mexico,2.5,8.0,51.6,22.13,0,1,0,0,0,0,-0.245729212396213,,-0.25,free
127,"Micronesia, Fed. Sts.",1.0,,,0.0,0,0,0,0,0,0,-0.310219534876191,,-0.31,free
129,Monaco,1.5,,,25.0,0,0,0,0,0,0,,,,free
130,Mongolia,2.0,10.0,36.6,4.17,0,0,0,1,0,0,-0.618422636002965,,-0.62,free
131,Montenegro,2.5,,36.9,11.11,0,0,0,0,1,0,-0.330958921537507,,-0.33,free
135,Namibia,2.0,6.0,74.3,26.92,0,0,0,0,0,1,0.28401211909007,,0.28,free
137,Netherlands,1.0,10.0,30.9,39.11,0,0,0,0,0,0,2.06141369546635,,2.06,free
140,New Zealand,1.0,10.0,36.2,33.61,0,0,0,0,0,0,2.27871883291067,,2.28,free
145,Norway,1.0,10.0,25.8,36.09,0,0,0,0,0,0,1.9467249373695,,1.95,free
148,Palau,1.0,,,6.9,0,0,0,0,0,0,-0.362581474034502,,-0.36,free
149,Panama,1.5,9.0,54.9,16.67,0,1,0,0,0,0,-0.311231456008425,,-0.31,free
152,Peru,2.5,9.0,50.5,29.17,0,1,0,0,0,0,-0.310562360563652,,-0.31,free
154,Poland,1.0,10.0,34.9,18.04,0,0,0,0,1,0,0.35084743630862,,0.35,free
155,Portugal,1.0,10.0,38.5,28.26,0,0,0,0,0,0,1.03632638663889,,1.04,free
158,Romania,2.0,9.0,32.1,9.77,0,0,0,0,1,0,-0.101114462758247,,-0.1,free
161,Samoa,2.0,,,8.16,0,0,0,0,0,0,0.164414584985552,,0.16,free
162,San Marino,1.0,,,15.0,0,0,0,0,0,0,,,,free
163,Sao Tome and Principe,2.0,,50.6,7.27,0,0,0,0,0,1,-0.551727246544846,,-0.55,free
166,Serbia,2.0,,28.2,21.6,0,0,0,0,1,0,-0.283202179202824,,-0.28,free
170,Slovak Republic,1.0,10.0,25.8,19.33,0,0,0,0,1,0,0.435218744100823,,0.44,free
171,Slovenia,1.0,10.0,31.2,10.0,0,0,0,0,1,0,1.01059983926299,,1.01,free
174,South Africa,2.0,9.0,57.8,33.92,0,0,0,0,0,1,0.332959829876555,,0.33,free
175,Spain,1.0,10.0,34.7,33.61,0,0,0,0,0,0,1.10179026726658,,1.1,free
177,St. Kitts and Nevis,1.0,,,6.67,0,0,1,0,0,0,1.03923043695193,,1.04,free
178,St. Lucia,1.0,,,17.24,0,0,1,0,0,0,1.19385743492346,,1.19,free
179,St. Vincent and the Grenadines,1.5,,,18.18,0,0,1,0,0,0,1.03923043695193,,1.04,free
181,Suriname,2.0,,52.8,25.49,0,0,1,0,0,0,-0.08950256667036,,-0.09,free
183,Sweden,1.0,10.0,25.0,46.99,0,0,0,0,0,0,2.14710767811866,,2.15,free
184,Switzerland,1.0,10.0,33.7,27.24,0,0,0,0,0,0,2.05866070078905,,2.06,free
192,Trinidad and Tobago,2.0,10.0,40.3,33.33,0,0,1,0,0,0,-0.108312323940113,,-0.11,free
197,Tuvalu,1.0,,,0.0,0,0,0,0,0,0,-0.149392563343805,,-0.15,free
199,Ukraine,2.5,7.0,27.6,8.22,0,0,0,0,0,0,-0.722976015785938,,-0.72,free
201,United Kingdom,1.0,10.0,36.0,19.61,0,0,0,0,0,0,1.71413684400448,,1.71,free
202,United States,1.0,10.0,40.8,17.01,0,0,0,0,0,0,1.33810603325913,,1.34,free
203,Uruguay,1.0,10.0,47.1,12.31,0,1,0,0,0,0,1.11251414806231,,1.11,free
205,Vanuatu,2.0,,,3.85,0,0,0,0,0,0,0.345598699472586,,0.35,free
